"id","signup_date","loyalty","location","gender","age","favorite_movie_line","number_of_purchases","value_of_purchases","total_standard_points","total_points_redeemed","first_order_date","last_order_date","time_between_purchases","average_order_value","time_to_first_purchase"
4121,"2012-05-29","enrolled",NA,"A",NA,"You're gonna need a bigger boat.",1,1534,150,0,"2012-11-28","2012-11-28",183,1534,183
4122,"2012-05-29","control",NA,"A","wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4123,"2012-05-29","enrolled","NY",NA,NA,NA,2,3605,350,0,"2012-06-22","2013-07-14",205.5,1802.5,24
4124,"2012-05-29","control",NA,"C",NA,"Elementary, my dear Watson.",18,10998,0,0,"2012-07-03","2013-10-15",28,611,35
4125,"2012-05-29","enrolled","NY",NA,"young",NA,8,11356,1090,0,"2012-11-06","2013-12-04",69.25,1419.5,161
4126,"2012-05-29","control",NA,"A","wise","Say ""hello"" to my little friend!",2,680,0,0,"2012-08-18","2012-11-26",90.5,340,81
4127,"2012-05-29","enrolled","SF",NA,NA,NA,4,11603,1140,0,"2012-08-08","2013-04-05",77.75,2900.75,71
4128,"2012-05-29","control",NA,NA,NA,"Oh, Jerry, don't let's ask for the moon. We have the stars.",3,1215,0,0,"2012-06-27","2013-07-07",134.666666666667,405,29
4129,"2012-05-29","control",NA,"A",NA,NA,0,0,0,0,NA,NA,NA,NA,NA
4130,"2012-05-29","enrolled","NY","D",NA,NA,7,41904,4160,0,"2012-07-03","2013-05-13",49.8571428571429,5986.28571428571,35
4131,"2012-05-29","enrolled",NA,NA,NA,NA,25,214759,21160,20000,"2012-05-30","2013-12-28",23.12,8590.36,1
4132,"2012-05-29","enrolled","SF","C",NA,"Hello, gorgeous.",1,2580,250,0,"2013-02-07","2013-02-07",254,2580,254
4133,"2012-05-29","control","NY",NA,"wise",NA,2,2213,0,0,"2012-12-09","2013-05-13",174.5,1106.5,194
4134,"2012-05-30","control","LA","A","youthful",NA,20,46239,0,0,"2012-06-09","2013-11-18",26.85,2311.95,10
4135,"2012-05-30","enrolled",NA,"C",NA,"Go ahead, make my day.",1,1305,130,0,"2013-01-15","2013-01-15",230,1305,230
4136,"2012-05-30","control",NA,"A","young",NA,2,503,0,0,"2012-06-22","2013-03-10",142,251.5,23
4137,"2012-05-30","enrolled","LA","A",NA,"Frankly, my dear, I don't give a damn.",1,0,0,0,"2013-06-18","2013-06-18",384,0,384
4138,"2012-05-30","control","SF",NA,"youthful","Say ""hello"" to my little friend!",5,10112,0,0,"2012-06-03","2013-11-20",107.8,2022.4,4
4139,"2012-05-30","control","NY","B",NA,NA,0,0,0,0,NA,NA,NA,NA,NA
4140,"2012-05-30","enrolled",NA,"B","oldish","Is it safe?",3,4023,400,0,"2012-11-16","2013-05-16",117,1341,170
4141,"2012-05-30","control",NA,"A",NA,NA,1,1036,0,0,"2012-08-04","2012-08-04",66,1036,66
4142,"2012-05-30","control",NA,"C","young","Of all the gin joints in all the towns in all the world, she walks into mine.",43,36662,0,0,"2012-06-06","2013-12-25",13.3488372093023,852.604651162791,7
4143,"2012-05-30","control","LA",NA,"youthful",NA,7,29489,0,0,"2012-06-16","2013-05-23",51.1428571428571,4212.71428571429,17
4144,"2012-05-30","control","SF",NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4145,"2012-05-30","control",NA,"C","youthful","My precious.",66,145524,0,0,"2012-06-05","2013-12-25",8.6969696969697,2204.90909090909,6
4146,"2012-05-30","control","NY","C",NA,"Yo, Adrian!",3,8893,0,0,"2013-03-16","2013-08-13",146.666666666667,2964.33333333333,290
4147,"2012-05-30","enrolled","NY","C","wise",NA,7,6221,600,0,"2012-10-19","2013-12-14",80.4285714285714,888.714285714286,142
4148,"2012-05-30","enrolled",NA,"A",NA,"I feel the need - the need for speed!",3,3831,370,0,"2012-10-25","2013-05-25",120,1277,148
4149,"2012-05-30","enrolled",NA,"C","oldish","Stella!  Hey, Stella!",8,18243,1790,0,"2012-06-20","2013-11-04",65.375,2280.375,21
4150,"2012-05-30","control","LA",NA,"young","Snap out of it!",1,1195,0,0,"2013-08-10","2013-08-10",437,1195,437
4151,"2012-05-30","control","SF","D","youthful",NA,0,0,0,0,NA,NA,NA,NA,NA
4152,"2012-05-30","control","LA","A","oldish","You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",53,79650,0,0,"2012-06-18","2013-12-01",10.377358490566,1502.83018867925,19
4153,"2012-05-30","control","SF","D",NA,NA,9,38034,0,0,"2012-07-23","2013-11-17",59.5555555555556,4226,54
4154,"2012-05-30","control",NA,NA,NA,NA,2,988,0,0,"2012-05-31","2013-09-01",229.5,494,1
4155,"2012-05-30","enrolled",NA,"A",NA,NA,5,5274,510,0,"2013-03-06","2013-11-06",105,1054.8,280
4156,"2012-05-30","control",NA,NA,"young",NA,38,98269,0,0,"2012-07-10","2013-12-18",14.9210526315789,2586.02631578947,41
4157,"2012-05-30","enrolled",NA,NA,"youthful",NA,11,41392,4090,0,"2012-06-20","2013-12-11",50.9090909090909,3762.90909090909,21
4158,"2012-05-30","enrolled","LA",NA,NA,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",12,55246,5460,0,"2012-06-26","2013-11-12",44.25,4603.83333333333,27
4159,"2012-05-30","enrolled",NA,NA,"youthful","Who's on first.",5,18738,1840,0,"2012-07-01","2013-12-16",113,3747.6,32
4160,"2012-05-30","control","SF",NA,NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4161,"2012-05-30","enrolled",NA,NA,"oldish","What a dump.",11,13551,1290,0,"2012-10-05","2013-12-19",51.6363636363636,1231.90909090909,128
4162,"2012-05-30","control","NY","C",NA,NA,1,1119,0,0,"2013-02-19","2013-02-19",265,1119,265
4163,"2012-05-30","control",NA,"A","young","Striker: Surely you can't be serious. ",1,578,0,0,"2013-02-10","2013-02-10",256,578,256
4164,"2012-05-31","control","SF",NA,NA,"Mother of mercy, is this the end of Rico?",2,4386,0,0,"2012-07-21","2013-01-12",113,2193,51
4165,"2012-05-31","control","NY",NA,NA,"Tell 'em to go out there with all they got and win just one for the Gipper.",9,12932,0,0,"2012-08-11","2013-12-10",62,1436.88888888889,72
4166,"2012-05-31","control",NA,"D",NA,"Soylent Green is people!",2,1838,0,0,"2012-08-23","2013-06-24",194.5,919,84
4167,"2012-05-31","control","LA",NA,"oldish",NA,1,2242,0,0,"2012-11-10","2012-11-10",163,2242,163
4168,"2012-05-31","control","NY","A",NA,"After all, tomorrow is another day!",2,665,0,0,"2012-09-05","2013-10-25",256,332.5,97
4169,"2012-05-31","enrolled",NA,"A",NA,NA,9,11980,1150,0,"2012-06-15","2013-12-04",61.3333333333333,1331.11111111111,15
4170,"2012-05-31","control","NY","D","young",NA,88,163975,0,0,"2012-06-01","2013-12-26",6.52272727272727,1863.35227272727,1
4171,"2012-05-31","enrolled","NY","B",NA,"I'll get you, my pretty, and your little dog, too!",2,2449,240,0,"2012-12-27","2013-08-15",220.5,1224.5,210
4172,"2012-05-31","enrolled","LA","B",NA,NA,37,72523,7030,5000,"2012-07-21","2013-12-20",15.3513513513514,1960.08108108108,51
4173,"2012-05-31","control",NA,"D","youthful","Who's on first.",5,25998,0,0,"2012-12-07","2013-08-20",89.2,5199.6,190
4174,"2012-05-31","enrolled","NY","C","wise","My precious.",3,3328,320,0,"2013-04-28","2013-11-02",173.333333333333,1109.33333333333,332
4175,"2012-05-31","enrolled","LA",NA,NA,"Say ""hello"" to my little friend!",45,58108,5550,5000,"2012-05-31","2013-12-17",12.5555555555556,1291.28888888889,0
4176,"2012-05-31","control","NY","B","wise",NA,1,2144,0,0,"2013-12-01","2013-12-01",549,2144,549
4177,"2012-05-31","control","LA",NA,"wise","Greed, for lack of a better word, is good.",32,55258,0,0,"2012-06-04","2013-12-21",17.78125,1726.8125,4
4178,"2012-05-31","enrolled",NA,NA,NA,NA,5,2760,260,0,"2012-06-07","2013-07-09",80.8,552,7
4179,"2012-05-31","control",NA,NA,"youthful",NA,13,69603,0,0,"2012-06-17","2013-12-25",44.0769230769231,5354.07692307692,17
4180,"2012-05-31","control","LA","B",NA,NA,29,91905,0,0,"2012-08-12","2013-12-24",19.7241379310345,3169.13793103448,73
4181,"2012-05-31","enrolled","LA",NA,NA,"We'll always have Paris.",2,9471,940,0,"2012-06-17","2012-08-09",35,4735.5,17
4182,"2012-05-31","enrolled",NA,NA,NA,NA,10,18247,1780,0,"2012-11-22","2013-12-09",55.7,1824.7,175
4183,"2012-05-31","enrolled",NA,NA,"youthful","Stella!  Hey, Stella!",9,18616,1790,0,"2012-06-27","2013-12-16",62.6666666666667,2068.44444444444,27
4184,"2012-05-31","enrolled",NA,"B","young","Here's looking at you, kid.",8,5813,550,0,"2012-09-12","2013-11-07",65.625,726.625,104
4185,"2012-05-31","enrolled",NA,"D",NA,"As God is my witness, I'll never be hungry again.",6,5643,530,0,"2012-06-20","2013-12-22",95,940.5,20
4186,"2012-05-31","control",NA,"C","wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4187,"2012-05-31","enrolled","LA",NA,NA,NA,5,3569,330,0,"2012-08-13","2013-07-07",80.4,713.8,74
4188,"2012-05-31","enrolled","NY","A",NA,"My mama always said life was like a box of chocolates. You never know what you're gonna get.",3,2613,240,0,"2012-10-16","2013-10-19",168.666666666667,871,138
4189,"2012-05-31","enrolled",NA,"C","wise","Tell 'em to go out there with all they got and win just one for the Gipper.",14,17392,1670,0,"2012-07-26","2013-12-02",39.2857142857143,1242.28571428571,56
4190,"2012-05-31","control","SF",NA,NA,NA,2,3722,0,0,"2013-04-01","2013-06-26",195.5,1861,305
4191,"2012-05-31","enrolled",NA,"D",NA,"Carpe diem.  Seize the day, boys.  Make your lives extraordinary.",9,73866,7290,5000,"2012-06-22","2013-11-12",58.8888888888889,8207.33333333333,22
4192,"2012-06-01","control",NA,NA,NA,NA,3,8323,0,0,"2012-10-14","2013-08-21",148.666666666667,2774.33333333333,135
4193,"2012-06-01","enrolled",NA,NA,NA,"I'm gonna make him an offer he can't refuse.",7,37143,3680,0,"2012-06-24","2013-11-19",76.5714285714286,5306.14285714286,23
4194,"2012-06-01","enrolled","NY",NA,"youthful",NA,12,65304,6440,5000,"2012-10-07","2013-09-14",39.1666666666667,5442,128
4195,"2012-06-01","control",NA,NA,NA,"We rob banks.",10,15384,0,0,"2012-07-27","2013-12-25",57.2,1538.4,56
4196,"2012-06-01","control","LA","B",NA,"Greed, for lack of a better word, is good.",4,9739,0,0,"2012-11-16","2013-12-28",143.75,2434.75,168
4197,"2012-06-01","control",NA,"A",NA,NA,2,9671,0,0,"2012-10-16","2013-08-01",213,4835.5,137
4198,"2012-06-01","enrolled","LA",NA,NA,NA,16,114745,11320,10000,"2012-07-17","2013-12-03",34.375,7171.5625,46
4199,"2012-06-01","control",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
4200,"2012-06-01","enrolled",NA,NA,NA,NA,9,20944,2040,0,"2012-08-18","2013-09-06",51.3333333333333,2327.11111111111,78
4201,"2012-06-01","enrolled","SF","B",NA,"Fasten your seatbelts. It's going to be a bumpy night.",2,2504,240,0,"2012-08-02","2012-10-24",72.5,1252,62
4202,"2012-06-01","enrolled","SF","D","young","Hello, gorgeous.",4,2545,240,0,"2012-07-04","2013-12-18",141.25,636.25,33
4203,"2012-06-01","control","LA",NA,"wise",NA,0,0,0,0,NA,NA,NA,NA,NA
4204,"2012-06-01","control",NA,NA,NA,"Cinderella story.  Outta nowhere.  A former greenskeeper, now, about to  become the Masters champion.  It looks like a mirac...It's in the hole!  It's in the hole!  It's in the hole!",29,62379,0,0,"2012-06-17","2013-12-18",19.4827586206897,2151,16
4205,"2012-06-01","enrolled",NA,NA,NA,"Go ahead, make my day.",5,4261,400,0,"2012-07-21","2013-11-21",107.6,852.2,50
4206,"2012-06-01","control","NY",NA,"youthful","Say ""hello"" to my little friend!",9,22140,0,0,"2012-08-10","2013-10-02",54.2222222222222,2460,70
4207,"2012-06-01","enrolled",NA,"C",NA,NA,1,1282,120,0,"2012-12-02","2012-12-02",184,1282,184
4208,"2012-06-01","control","NY","B","oldish","My mother thanks you. My father thanks you. My sister thanks you. And I thank you.",11,18836,0,0,"2012-06-15","2013-08-28",41.1818181818182,1712.36363636364,14
4209,"2012-06-01","enrolled","SF",NA,NA,NA,2,2591,250,0,"2012-11-19","2013-01-12",112.5,1295.5,171
4210,"2012-06-01","control","NY",NA,NA,"Sawyer, you're going out a youngster, but you've got to come back a star!",6,20481,0,0,"2012-07-09","2013-12-24",95.1666666666667,3413.5,38
4211,"2012-06-01","control","LA",NA,"oldish","A boy's best friend is his mother.",15,112757,0,0,"2012-06-01","2013-11-26",36.2,7517.13333333333,0
4212,"2012-06-01","control","SF","B","youthful","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4213,"2012-06-01","enrolled",NA,"A",NA,"Show me the money!",14,12516,1180,0,"2012-06-28","2013-09-23",34.2142857142857,894,27
4214,"2012-06-01","control",NA,"D",NA,"If you build it, he will come.",21,36978,0,0,"2012-06-22","2013-09-26",22.952380952381,1760.85714285714,21
4215,"2012-06-01","enrolled","NY","B","oldish",NA,5,12783,1260,0,"2012-06-15","2013-06-24",77.6,2556.6,14
4216,"2012-06-01","enrolled","SF",NA,NA,NA,1,1450,140,0,"2013-01-06","2013-01-06",219,1450,219
4217,"2012-06-01","enrolled","SF","B","wise",NA,2,2166,210,0,"2013-05-24","2013-12-27",287,1083,357
4218,"2012-06-01","enrolled",NA,"D",NA,"After all, tomorrow is another day!",90,164117,15780,15000,"2012-06-02","2013-12-15",6.24444444444444,1823.52222222222,1
4219,"2012-06-01","enrolled","LA","A","wise",NA,23,25699,2460,0,"2012-06-26","2013-12-24",24.8260869565217,1117.34782608696,25
4220,"2012-06-01","enrolled","LA","A",NA,NA,5,21244,2080,0,"2012-12-24","2013-09-19",95,4248.8,206
4221,"2012-06-01","control","SF","B","wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4222,"2012-06-01","enrolled","NY","A",NA,NA,3,6971,680,0,"2012-08-15","2013-08-22",149,2323.66666666667,75
4223,"2012-06-01","control",NA,NA,"oldish",NA,3,4890,0,0,"2013-06-03","2013-09-24",160,1630,367
4224,"2012-06-02","control","NY","C","wise","You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",19,44058,0,0,"2012-06-10","2013-11-28",28.6315789473684,2318.84210526316,8
4225,"2012-06-02","enrolled",NA,"B","young","A martini.  Shaken, not stirred.",7,15127,1480,0,"2012-06-08","2013-11-26",77.4285714285714,2161,6
4226,"2012-06-02","enrolled","NY","A",NA,"Rosebud.",7,3688,350,0,"2012-12-05","2013-11-23",77,526.857142857143,186
4227,"2012-06-02","control",NA,"A",NA,NA,1,599,0,0,"2013-01-26","2013-01-26",238,599,238
4228,"2012-06-02","control",NA,"A",NA,NA,31,37724,0,0,"2012-06-04","2013-12-09",17.9032258064516,1216.90322580645,2
4229,"2012-06-02","control","NY",NA,"youthful","A boy's best friend is his mother.",17,57715,0,0,"2012-07-16","2013-12-29",33.8235294117647,3395,44
4230,"2012-06-02","control","NY",NA,NA,NA,4,24566,0,0,"2013-03-28","2013-11-20",134,6141.5,299
4231,"2012-06-02","control",NA,"D","wise","You're gonna need a bigger boat.",2,4117,0,0,"2012-06-29","2013-04-16",159,2058.5,27
4232,"2012-06-02","control",NA,NA,NA,"As God is my witness, I'll never be hungry again.",3,3386,0,0,"2012-06-07","2013-11-26",180.666666666667,1128.66666666667,5
4233,"2012-06-02","control","SF",NA,NA,NA,6,6038,0,0,"2012-06-27","2013-08-02",71,1006.33333333333,25
4234,"2012-06-02","control","NY",NA,NA,NA,2,799,0,0,"2012-11-03","2013-07-28",210.5,399.5,154
4235,"2012-06-02","control",NA,NA,NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4236,"2012-06-02","enrolled",NA,NA,"young","Greed, for lack of a better word, is good.",3,752,60,0,"2012-09-15","2013-05-10",114,250.666666666667,105
4237,"2012-06-02","enrolled",NA,NA,"young",NA,2,4953,480,0,"2012-06-23","2013-07-18",205.5,2476.5,21
4238,"2012-06-02","enrolled","LA","D","youthful","Frankly, my dear, I don't give a damn.",5,28300,2810,0,"2012-08-11","2012-11-16",33.4,5660,70
4239,"2012-06-02","control","SF","A","young",NA,1,348,0,0,"2013-09-17","2013-09-17",472,348,472
4240,"2012-06-02","control","NY","B","oldish",NA,6,14850,0,0,"2012-10-07","2013-07-24",69.5,2475,127
4241,"2012-06-02","control",NA,"A","oldish","Mother of mercy, is this the end of Rico?",1,1072,0,0,"2012-10-07","2012-10-07",127,1072,127
4242,"2012-06-02","enrolled",NA,NA,"wise",NA,1,261,20,0,"2012-11-13","2012-11-13",164,261,164
4243,"2012-06-02","control","LA","C",NA,NA,13,53098,0,0,"2012-06-07","2013-11-23",41.4615384615385,4084.46153846154,5
4244,"2012-06-02","control","LA",NA,"youthful","Listen to them.  Children of the night.  What music they make.",9,67398,0,0,"2012-08-27","2013-09-13",52,7488.66666666667,86
4245,"2012-06-02","enrolled","SF","B",NA,NA,1,4283,420,0,"2013-03-28","2013-03-28",299,4283,299
4246,"2012-06-02","enrolled",NA,"B","youthful","Greed, for lack of a better word, is good.",12,31263,3060,0,"2012-06-04","2013-11-19",44.5833333333333,2605.25,2
4247,"2012-06-02","control",NA,"D","oldish","Hello, gorgeous.",5,35156,0,0,"2012-10-25","2013-12-29",115,7031.2,145
4248,"2012-06-02","enrolled",NA,"D",NA,"I'll get you, my pretty, and your little dog, too!",29,38162,3670,0,"2012-06-10","2013-12-28",19.7931034482759,1315.93103448276,8
4249,"2012-06-02","enrolled",NA,NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4250,"2012-06-02","enrolled",NA,NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4251,"2012-06-02","control",NA,NA,"wise","Fasten your seatbelts. It's going to be a bumpy night.",1,108,0,0,"2013-11-25","2013-11-25",541,108,541
4252,"2012-06-02","control","LA","B",NA,NA,3,14599,0,0,"2013-01-15","2013-07-17",136.666666666667,4866.33333333333,227
4253,"2012-06-02","control","LA",NA,"wise",NA,0,0,0,0,NA,NA,NA,NA,NA
4254,"2012-06-02","control","NY","C","wise","I'll have what she's having.",2,1116,0,0,"2012-10-19","2013-10-21",253,558,139
4255,"2012-06-02","control",NA,"B",NA,"You had me at ""hello.""",7,3493,0,0,"2012-07-30","2013-02-06",35.5714285714286,499,58
4256,"2012-06-02","control",NA,NA,"wise",NA,0,0,0,0,NA,NA,NA,NA,NA
4257,"2012-06-02","control","LA",NA,NA,NA,3,4486,0,0,"2013-01-07","2013-10-29",171.333333333333,1495.33333333333,219
4258,"2012-06-02","enrolled","NY",NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4259,"2012-06-02","enrolled",NA,NA,"youthful","Life is a banquet, and most poor suckers are starving to death!",112,791216,77780,75000,"2012-06-06","2013-12-28",5.125,7064.42857142857,4
4260,"2012-06-03","control",NA,NA,NA,NA,2,2405,0,0,"2012-07-19","2013-01-18",114.5,1202.5,46
4261,"2012-06-03","control",NA,"D","young","My mother thanks you. My father thanks you. My sister thanks you. And I thank you.",4,7749,0,0,"2012-06-24","2013-09-13",116.75,1937.25,21
4262,"2012-06-03","enrolled",NA,"B","youthful",NA,13,93593,9260,5000,"2012-06-24","2013-11-09",40.3076923076923,7199.46153846154,21
4263,"2012-06-03","enrolled","NY",NA,NA,"Here's looking at you, kid.",4,6101,600,0,"2012-08-02","2013-10-18",125.5,1525.25,60
4264,"2012-06-03","enrolled","SF",NA,NA,"Life is a banquet, and most poor suckers are starving to death!",102,162896,15610,15000,"2012-06-03","2013-12-21",5.54901960784314,1597.01960784314,0
4265,"2012-06-03","enrolled",NA,NA,"oldish","Go ahead, make my day.",5,13901,1360,0,"2012-08-25","2013-10-13",99.4,2780.2,83
4266,"2012-06-03","control","NY",NA,"wise","You had me at ""hello.""",1,751,0,0,"2013-11-03","2013-11-03",518,751,518
4267,"2012-06-03","enrolled","SF","A",NA,"Bond. James Bond.",1,121,10,0,"2013-02-13","2013-02-13",255,121,255
4268,"2012-06-03","enrolled",NA,NA,"wise",NA,5,6654,640,0,"2012-06-29","2013-08-27",90,1330.8,26
4269,"2012-06-03","enrolled","LA",NA,"wise",NA,2,4827,470,0,"2013-04-06","2013-10-21",252.5,2413.5,307
4270,"2012-06-03","control",NA,NA,NA,NA,7,20245,0,0,"2012-07-12","2013-10-27",73,2892.14285714286,39
4271,"2012-06-03","enrolled",NA,"D","youthful","Nobody puts Baby in a corner.",7,57771,5750,0,"2012-08-19","2013-11-22",76.7142857142857,8253,77
4272,"2012-06-03","enrolled",NA,NA,"wise",NA,0,0,0,0,NA,NA,NA,NA,NA
4273,"2012-06-03","enrolled","SF",NA,NA,"Gentlemen, you can't fight in here! This is the War Room!",3,4021,390,0,"2013-04-14","2013-09-11",155,1340.33333333333,315
4274,"2012-06-03","enrolled","NY",NA,"wise",NA,3,7742,760,0,"2012-08-23","2013-02-11",84.3333333333333,2580.66666666667,81
4275,"2012-06-03","control","LA","D","young","Frankly, my dear, I don't give a damn.",5,6920,0,0,"2012-11-29","2013-10-24",101.6,1384,179
4276,"2012-06-03","control",NA,NA,NA,NA,1,714,0,0,"2013-01-05","2013-01-05",216,714,216
4277,"2012-06-03","enrolled","LA","A",NA,NA,0,0,0,0,NA,NA,NA,NA,NA
4278,"2012-06-03","control","LA",NA,NA,"What we've got here is failure to communicate.",49,144590,0,0,"2012-06-21","2013-12-27",11.6734693877551,2950.81632653061,18
4279,"2012-06-03","enrolled",NA,NA,"wise","Say ""hello"" to my little friend!",4,2590,240,0,"2012-06-05","2013-06-18",95,647.5,2
4280,"2012-06-03","enrolled","LA","D",NA,"Frankly, my dear, I don't give a damn.",6,67900,6720,5000,"2012-09-01","2013-10-11",82.5,11316.6666666667,90
4281,"2012-06-03","enrolled","LA",NA,NA,NA,4,13483,1320,0,"2012-07-12","2013-08-14",109.25,3370.75,39
4282,"2012-06-03","control","LA","D",NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4283,"2012-06-03","control",NA,NA,NA,NA,1,6203,0,0,"2012-06-22","2012-06-22",19,6203,19
4284,"2012-06-03","control",NA,NA,"wise",NA,3,9224,0,0,"2012-08-16","2013-07-22",138,3074.66666666667,74
4285,"2012-06-03","control","LA",NA,NA,NA,7,46578,0,0,"2012-10-25","2013-12-15",80,6654,144
4286,"2012-06-03","control",NA,"D","wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4287,"2012-06-04","control","LA",NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4288,"2012-06-04","control","SF","D",NA,"Mother of mercy, is this the end of Rico?",2,5186,0,0,"2013-01-23","2013-08-20",221,2593,233
4289,"2012-06-04","enrolled",NA,NA,NA,NA,2,4150,410,0,"2012-07-08","2012-12-23",101,2075,34
4290,"2012-06-04","control","LA","C",NA,"Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4291,"2012-06-04","control",NA,NA,"oldish","My mother thanks you. My father thanks you. My sister thanks you. And I thank you.",2,2698,0,0,"2012-10-22","2013-10-11",247,1349,140
4292,"2012-06-04","control",NA,NA,"youthful",NA,65,163301,0,0,"2012-06-08","2013-12-30",8.83076923076923,2512.32307692308,4
4293,"2012-06-04","control",NA,"B","youthful","Elementary, my dear Watson.",8,36783,0,0,"2012-07-07","2013-11-17",66.375,4597.875,33
4294,"2012-06-04","enrolled",NA,NA,NA,"I'll have what she's having.",12,113911,11270,5000,"2012-09-25","2013-12-23",47.25,9492.58333333333,113
4295,"2012-06-04","control","SF",NA,"oldish",NA,3,4924,0,0,"2013-03-30","2013-12-03",182.333333333333,1641.33333333333,299
4296,"2012-06-04","control",NA,"A",NA,"Elementary, my dear Watson.",1,364,0,0,"2013-12-26","2013-12-26",570,364,570
4297,"2012-06-04","enrolled",NA,"C","oldish",NA,3,9062,890,0,"2012-06-07","2013-12-25",189.666666666667,3020.66666666667,3
4298,"2012-06-04","control",NA,"B",NA,NA,5,13065,0,0,"2012-08-23","2013-12-30",114.8,2613,80
4299,"2012-06-04","enrolled",NA,"A","young","I feel the need - the need for speed!",43,22151,2060,0,"2012-06-14","2013-12-21",13.1395348837209,515.139534883721,10
4300,"2012-06-04","enrolled",NA,NA,"youthful",NA,1,2720,270,0,"2013-11-08","2013-11-08",522,2720,522
4301,"2012-06-04","enrolled","SF",NA,NA,"Keep your friends close, but your enemies closer.",1,57,0,0,"2013-04-05","2013-04-05",305,57,305
4302,"2012-06-04","enrolled","SF","D",NA,NA,19,27515,2660,0,"2012-06-25","2013-12-08",29.0526315789474,1448.15789473684,21
4303,"2012-06-04","control","SF","A","wise","I feel the need - the need for speed!",1,393,0,0,"2013-08-08","2013-08-08",430,393,430
4304,"2012-06-04","control",NA,"A",NA,NA,1,1011,0,0,"2012-08-28","2012-08-28",85,1011,85
4305,"2012-06-04","enrolled","SF",NA,NA,"You know how to whistle, don't you, Steve? You just put your lips together and blow.",7,21519,2120,0,"2012-06-27","2013-10-29",73.1428571428571,3074.14285714286,23
4306,"2012-06-04","enrolled",NA,NA,NA,"Is it safe?",7,8667,830,0,"2012-07-19","2013-07-09",57.1428571428571,1238.14285714286,45
4307,"2012-06-04","control","NY",NA,"oldish","Who's on first.",90,220051,0,0,"2012-06-22","2013-12-23",6.3,2445.01111111111,18
4308,"2012-06-04","enrolled","SF","C","wise",NA,3,1387,130,0,"2012-07-02","2013-10-29",170.666666666667,462.333333333333,28
4309,"2012-06-04","enrolled",NA,"B",NA,NA,0,0,0,0,NA,NA,NA,NA,NA
4310,"2012-06-04","enrolled",NA,NA,NA,"What we've got here is failure to communicate.",10,19151,1870,0,"2012-07-28","2013-12-01",54.5,1915.1,54
4311,"2012-06-04","enrolled",NA,NA,NA,"After all, tomorrow is another day!",3,10410,1020,0,"2012-08-10","2013-12-18",187.333333333333,3470,67
4312,"2012-06-04","control","LA","A","young","La-dee-da, la-dee-da.",1,454,0,0,"2012-09-30","2012-09-30",118,454,118
4313,"2012-06-05","enrolled","SF","A","wise","They're here!",7,4024,370,0,"2013-02-12","2013-09-14",66.5714285714286,574.857142857143,252
4314,"2012-06-05","enrolled","LA",NA,"young",NA,39,126287,12330,10000,"2012-06-07","2013-12-16",14.3333333333333,3238.12820512821,2
4315,"2012-06-05","control",NA,NA,NA,NA,6,18187,0,0,"2012-07-07","2013-05-02",55.1666666666667,3031.16666666667,32
4316,"2012-06-05","control",NA,"C","wise","E.T. phone home.",1,1814,0,0,"2012-06-23","2012-06-23",18,1814,18
4317,"2012-06-05","enrolled",NA,"A","youthful","Snap out of it!",5,11439,1120,0,"2012-06-09","2013-11-14",105.4,2287.8,4
4318,"2012-06-05","control",NA,"C","youthful","I am big!  It's the pictures that got small.",7,22389,0,0,"2012-08-16","2013-11-22",76.4285714285714,3198.42857142857,72
4319,"2012-06-05","enrolled","LA",NA,"wise","Frankly, my dear, I don't give a damn.",0,0,0,0,NA,NA,NA,NA,NA
4320,"2012-06-05","control","SF",NA,"youthful",NA,4,11492,0,0,"2013-03-22","2013-09-10",115.5,2873,290
4321,"2012-06-05","control","SF",NA,"oldish",NA,2,3953,0,0,"2012-08-04","2013-11-24",268.5,1976.5,60
4322,"2012-06-05","enrolled",NA,NA,NA,NA,8,66731,6590,5000,"2012-07-20","2013-05-06",41.875,8341.375,45
